Gene	log10_ci_low	log10_ci_high	log10_map	group	group2
ABCB7	-5.86273822	-2.31520617	-3.16373053	non-par X	X (Other non-PAR)
ABCD1	-1.21498057	-0.05832955	-0.49095954	non-par X	X (Other non-PAR)
ACE2	-1.26658595	-0.20514624	-0.7621018	non-par X	X (Other non-PAR)
ACOT9	-5.93556156	-1.9709094	-2.82238375	non-par X	X (Other non-PAR)
ACRC	-1.94312319	-0.48447602	-1.20172804	non-par X	X (Other non-PAR)
ACSL4	-1.50016798	-0.42455897	-1.02806996	non-par X	X (Other non-PAR)
ACTRT1	-3.99501152	-0.00608429	-0.67404638	non-par X	X (Other non-PAR)
AF196779.12	-1.37470814	-0.05722864	-0.58520731	non-par X	X (Other non-PAR)
AFF2	-1.35229487	-0.35455969	-0.90079703	non-par X	X (Other non-PAR)
AGTR2	-6.00588919	-1.98222384	-3.02324739	non-par X	X (Other non-PAR)
AIFM1	-0.99857488	-0.05022568	-0.32961994	non-par X	X (Other non-PAR)
AKAP14	-1.62376386	-0.02704569	-0.56375768	non-par X	X (Other non-PAR)
AKAP4	-1.20695615	-0.05418383	-0.48948442	non-par X	X (Other non-PAR)
ALAS2	-1.26752537	-0.05930714	-0.53074222	non-par X	X (Other non-PAR)
ALG13	-1.21676805	-0.19373593	-0.72636893	non-par X	X (Other non-PAR)
AMELX	-2.36158917	-0.00124438	-0.64914132	non-par X	X (Y-homolog, non-PAR)
AMER1	-1.37353428	-0.3648768	-0.91712818	non-par X	X (Other non-PAR)
AMMECR1	-4.18349712	-0.15060828	-1.21847474	non-par X	X (Other non-PAR)
AMOT	-1.53628783	-0.59272843	-1.0847589	non-par X	X (Other non-PAR)
AP1S2	-2.28591227	-0.00347309	-0.66093172	non-par X	X (Other non-PAR)
APEX2	-1.49486513	-0.04572883	-0.55164638	non-par X	X (Other non-PAR)
APLN	-5.74249634	-0.18643979	-0.94351506	non-par X	X (Other non-PAR)
APOO	-1.39406681	-0.06148596	-0.56120378	non-par X	X (Other non-PAR)
APOOL	-5.9884718	-2.03091069	-3.34060114	non-par X	X (Other non-PAR)
AR	-2.24105813	-0.99578489	-1.47569403	non-par X	X (Other non-PAR)
ARAF	-1.56975009	-0.43848603	-1.05080359	non-par X	X (Other non-PAR)
ARHGAP36	-1.31920162	-0.05800703	-0.50559033	non-par X	X (Other non-PAR)
ARHGAP4	-1.62784231	-0.62652794	-1.14772292	non-par X	X (Other non-PAR)
ARHGAP6	-1.35419259	-0.22187592	-0.78164601	non-par X	X (Other non-PAR)
ARHGEF6	-0.94682231	-0.04652734	-0.32035711	non-par X	X (Other non-PAR)
ARHGEF9	-1.19673306	-0.06007762	-0.47967426	non-par X	X (Other non-PAR)
ARL13A	-5.79662478	-1.14673552	-1.76558033	non-par X	X (Other non-PAR)
ARMCX1	-4.67229936	-0.12226699	-1.15886502	non-par X	X (Other non-PAR)
ARMCX2	-2.73032217	-0.0028257	-0.66312317	non-par X	X (Other non-PAR)
ARMCX3	-4.70442369	-0.00279194	-0.71054202	non-par X	X (Other non-PAR)
ARMCX5	-3.88717539	-0.09534711	-1.14269306	non-par X	X (Other non-PAR)
ARMCX6	-4.16394377	-0.00374155	-0.70232187	non-par X	X (Other non-PAR)
ARR3	-1.77185635	-0.48804163	-1.17659628	non-par X	X (Other non-PAR)
ARSD	-2.03586695	-0.46863867	-1.2294291	non-par X	X (Other non-PAR)
ARSE	-1.58212557	-0.2514822	-0.9571876	non-par X	X (Other non-PAR)
ARSF	-5.91633416	-1.945557	-2.82280314	non-par X	X (Other non-PAR)
ARSH	-5.98748304	-2.01862841	-2.961823	non-par X	X (Other non-PAR)
ARX	-2.9803969	-0.00490464	-0.71550124	non-par X	X (Other non-PAR)
ASB11	-5.96268231	-1.89048558	-4.46683625	non-par X	X (Other non-PAR)
ASB12	-5.94666709	-1.47783775	-2.19020254	non-par X	X (Other non-PAR)
ASB9	-2.77885655	-0.00808583	-0.66132298	non-par X	X (Other non-PAR)
ATG4A	-1.24184721	-0.05852902	-0.47447942	non-par X	X (Other non-PAR)
ATP11C	-1.11300234	-0.16796367	-0.6139634	non-par X	X (Other non-PAR)
ATP1B4	-5.78921237	-1.50118147	-2.01459262	non-par X	X (Other non-PAR)
ATP2B3	-1.21770071	-0.19397967	-0.67996047	non-par X	X (Other non-PAR)
ATP6AP2	-1.43889635	-0.05220035	-0.59803844	non-par X	X (Other non-PAR)
ATP7A	-0.87560153	-0.04203426	-0.297769	non-par X	X (Other non-PAR)
ATRX	-1.23380197	-0.55151746	-0.90544548	non-par X	X (Other non-PAR)
AVPR2	-4.17879349	-0.00442396	-0.74995865	non-par X	X (Other non-PAR)
AWAT1	-1.43932011	-0.05100511	-0.59050576	non-par X	X (Other non-PAR)
AWAT2	-1.4630868	-0.04862944	-0.51321712	non-par X	X (Other non-PAR)
BCAP31	-1.81526043	-0.00428679	-0.60515319	non-par X	X (Other non-PAR)
BCOR	-0.86176981	-0.03513059	-0.30007584	non-par X	X (Other non-PAR)
BCORL1	-0.86969957	-0.0383273	-0.30326461	non-par X	X (Other non-PAR)
BEND2	-1.70067385	-0.47123448	-1.1343029	non-par X	X (Other non-PAR)
BEX1	-5.62133492	-0.09339388	-0.94151348	non-par X	X (Other non-PAR)
BEX4	-4.40954924	-0.00175689	-0.69382928	non-par X	X (Other non-PAR)
BEX5	-6.02459711	-1.09059372	-3.43354463	non-par X	X (Other non-PAR)
BGN	-3.91890559	-0.0964359	-1.146941	non-par X	X (Other non-PAR)
BHLHB9	-1.99154603	-0.00599828	-0.59372876	non-par X	X (Other non-PAR)
BMP15	-5.9620798	-1.88312476	-2.79654593	non-par X	X (Other non-PAR)
BMX	-1.58243752	-0.44510177	-1.11624746	non-par X	X (Other non-PAR)
BRCC3	-5.08537423	-0.7157395	-1.5397504	non-par X	X (Other non-PAR)
BRS3	-1.47772908	-0.04680749	-0.60140451	non-par X	X (Other non-PAR)
BRWD3	-1.04192027	-0.23293534	-0.65520641	non-par X	X (Other non-PAR)
BTK	-1.0111441	-0.04736893	-0.33882911	non-par X	X (Other non-PAR)
C1GALT1C1	-3.02402251	-0.00338118	-0.73858018	non-par X	X (Other non-PAR)
CA5B	-5.96394614	-1.80893125	-2.74460896	non-par X	X (Other non-PAR)
CACNA1F	-1.5731429	-0.96795818	-1.27814163	non-par X	X (Other non-PAR)
CAPN6	-1.37424808	-0.22692639	-0.84718005	non-par X	X (Other non-PAR)
CASK	-0.89922151	-0.04300841	-0.30087448	non-par X	X (Other non-PAR)
CCDC120	-5.17044724	-0.82902007	-1.60020778	non-par X	X (Other non-PAR)
CCDC160	-6.00063804	-1.72937089	-2.70899383	non-par X	X (Other non-PAR)
CCDC22	-1.10136682	-0.05766139	-0.37777029	non-par X	X (Other non-PAR)
CCNB3	-1.59410134	-0.61483468	-1.17286982	non-par X	X (Other non-PAR)
CD40LG	-5.67679845	-0.69333895	-1.50627977	non-par X	X (Other non-PAR)
CD99L2	-1.88256252	-0.48255479	-1.211577	non-par X	X (Other non-PAR)
CDKL5	-1.82727991	-0.98971857	-1.37299568	non-par X	X (Other non-PAR)
CDX4	-6.02778866	-2.08945038	-3.81859954	non-par X	X (Other non-PAR)
CENPI	-2.39749248	-0.98582382	-1.50096904	non-par X	X (Other non-PAR)
CETN2	-2.90907958	-0.00795653	-0.67816583	non-par X	X (Other non-PAR)
CFP	-1.93778041	-0.72535515	-1.32218063	non-par X	X (Other non-PAR)
CHDC2	-5.7988626	-1.48201237	-2.17533274	non-par X	X (Other non-PAR)
CHIC1	-4.808437	-0.00702869	-0.77633814	non-par X	X (Other non-PAR)
CHM	-1.07084963	-0.0500432	-0.35333125	non-par X	X (Other non-PAR)
CHRDL1	-1.41236572	-0.2301637	-0.79776372	non-par X	X (Other non-PAR)
CHST7	-3.16622749	-0.00307333	-0.65101144	non-par X	X (Other non-PAR)
CITED1	-6.02154788	-2.00539174	-3.12870759	non-par X	X (Other non-PAR)
CLCN4	-1.22749412	-0.05922128	-0.41863064	non-par X	X (Other non-PAR)
CLCN5	-5.89656676	-2.12996376	-3.184516	non-par X	X (Other non-PAR)
CLDN2	-5.21557918	-0.00392379	-0.74080909	non-par X	X (Other non-PAR)
CLIC2	-5.50496089	-0.34317851	-1.35232665	non-par X	X (Other non-PAR)
CMC4	-5.70651251	-0.13024556	-0.91159325	non-par X	X (Other non-PAR)
CNGA2	-5.67816429	-1.52282301	-2.10708918	non-par X	X (Other non-PAR)
CNKSR2	-0.89735036	-0.03697769	-0.31095948	non-par X	X (Other non-PAR)
COL4A5	-1.18441109	-0.28308766	-0.74580594	non-par X	X (Other non-PAR)
COL4A6	-1.45689436	-0.72134128	-1.13217855	non-par X	X (Other non-PAR)
COX7B	-5.13902975	-0.00141011	-0.75223667	non-par X	X (Other non-PAR)
CSTF2	-1.07758219	-0.0530193	-0.40318997	non-par X	X (Other non-PAR)
CT45A1	-5.87860759	-0.33047553	-1.30931186	non-par X	X (Other non-PAR)
CT45A5	-6.05091392	-2.22040166	-4.86476391	non-par X	X (Other non-PAR)
CT47B1	-6.0337901	-2.33003835	-3.97148297	non-par X	X (Other non-PAR)
CT55	-3.51666595	-0.00450629	-0.73105249	non-par X	X (Other non-PAR)
CT83	-5.82432235	-0.2476066	-1.06442467	non-par X	X (Other non-PAR)
CTAG2	-5.75409705	-0.18893525	-0.99501073	non-par X	X (Other non-PAR)
CTPS2	-1.10829027	-0.05933611	-0.4021875	non-par X	X (Other non-PAR)
CUL4B	-0.96860505	-0.04640355	-0.37419889	non-par X	X (Other non-PAR)
CXCR3	-6.01062252	-2.07293502	-3.93345386	non-par X	X (Other non-PAR)
CXorf21	-4.34745306	-0.00381506	-0.66789049	non-par X	X (Other non-PAR)
CXorf22	-1.06320653	-0.05162186	-0.399694	non-par X	X (Other non-PAR)
CXorf23	-1.31897863	-0.21551762	-0.78410705	non-par X	X (Other non-PAR)
CXorf30	-2.16471438	-0.00942877	-0.64725991	non-par X	X (Other non-PAR)
CXorf36	-5.94253568	-1.69935487	-2.49709342	non-par X	X (Other non-PAR)
CXorf38	-5.9686548	-1.92654519	-2.53860494	non-par X	X (Other non-PAR)
CXorf40A	-5.52059678	-0.04331595	-0.82518574	non-par X	X (Other non-PAR)
CXorf40B	-5.7048979	-0.13441151	-0.9303447	non-par X	X (Other non-PAR)
CXorf56	-1.45299704	-0.05292521	-0.59901563	non-par X	X (Other non-PAR)
CXorf57	-4.05620714	-1.16013879	-1.74617497	non-par X	X (Other non-PAR)
CXorf58	-5.99347705	-2.21048066	-2.98500102	non-par X	X (Other non-PAR)
CXorf65	-2.14888203	-0.00490333	-0.62269534	non-par X	X (Other non-PAR)
CXorf66	-5.65124153	-0.10910453	-0.91126966	non-par X	X (Other non-PAR)
CYBB	-1.05070402	-0.05424638	-0.3094852	non-par X	X (Other non-PAR)
CYLC1	-1.43366509	-0.05329091	-0.53842241	non-par X	X (Other non-PAR)
CYSLTR1	-5.99723464	-2.05487708	-3.86934778	non-par X	X (Other non-PAR)
DACH2	-3.17468357	-0.32934257	-1.33256001	non-par X	X (Other non-PAR)
DCAF12L1	-1.58935274	-0.03419507	-0.55671977	non-par X	X (Other non-PAR)
DCAF12L2	-2.79341642	-0.09798544	-1.12179094	non-par X	X (Other non-PAR)
DCAF8L2	-1.54760977	-0.03610224	-0.6231563	non-par X	X (Other non-PAR)
DCX	-5.56353547	-1.17541211	-1.82781216	non-par X	X (Other non-PAR)
DDX26B	-1.39761917	-0.37555169	-0.95516018	non-par X	X (Other non-PAR)
DDX3X	-1.07312231	-0.05621356	-0.33169825	non-par X	X (Y-homolog, non-PAR)
DDX53	-5.43078874	-0.01582742	-0.8103288	non-par X	X (Other non-PAR)
DGAT2L6	-5.92680091	-1.94532182	-2.79393506	non-par X	X (Other non-PAR)
DIAPH2	-4.3524216	-1.44808894	-1.97159203	non-par X	X (Other non-PAR)
DKC1	-1.02084775	-0.05155319	-0.33102461	non-par X	X (Other non-PAR)
DLG3	-0.94389727	-0.04343609	-0.30676114	non-par X	X (Other non-PAR)
DMD	-1.35406331	-0.88911713	-1.13088262	non-par X	X (Other non-PAR)
DMRTC1	-6.03490226	-1.14356377	-2.32251242	non-par X	X (Other non-PAR)
DNASE1L1	-4.41667592	-0.10655957	-1.18043247	non-par X	X (Other non-PAR)
DOCK11	-1.73481572	-1.17184315	-1.43066856	non-par X	X (Other non-PAR)
DRP2	-2.00391516	-1.17147529	-1.55256246	non-par X	X (Other non-PAR)
DUSP9	-4.33956056	-0.0101818	-0.7028824	non-par X	X (Other non-PAR)
DYNLT3	-5.30121879	-0.00532899	-0.79338917	non-par X	X (Other non-PAR)
EBP	-1.57054982	-0.03296804	-0.52071749	non-par X	X (Other non-PAR)
EDA	-1.49585572	-0.0447959	-0.62108869	non-par X	X (Other non-PAR)
EDA2R	-6.00827697	-2.07088114	-3.51432065	non-par X	X (Other non-PAR)
EFHC2	-1.22216512	-0.05751739	-0.47161436	non-par X	X (Other non-PAR)
EFNB1	-1.84288566	-0.00167582	-0.60816765	non-par X	X (Other non-PAR)
EGFL6	-5.81689681	-1.76492843	-2.42860581	non-par X	X (Other non-PAR)
EIF1AX	-1.71729031	-0.00476796	-0.57218233	non-par X	X (Y-homolog, non-PAR)
EIF2S3	-5.91591748	-1.76623956	-2.47426177	non-par X	X (Other non-PAR)
ELF4	-2.47816018	-0.60920315	-1.42148833	non-par X	X (Other non-PAR)
ELK1	-2.82579284	-0.00414135	-0.64793135	non-par X	X (Other non-PAR)
EMD	-2.23408553	-0.00218865	-0.66263723	non-par X	X (Other non-PAR)
ENOX2	-1.81107067	-0.70361179	-1.2664502	non-par X	X (Other non-PAR)
ERAS	-5.50977564	-0.04745602	-0.81881635	non-par X	X (Other non-PAR)
ERCC6L	-1.41274073	-0.38127386	-0.93050554	non-par X	X (Other non-PAR)
ESX1	-4.46302699	-0.00899586	-0.67454074	non-par X	X (Other non-PAR)
F8	-0.93859493	-0.13318275	-0.48904026	non-par X	X (Other non-PAR)
F9	-1.1354832	-0.05712706	-0.41120924	non-par X	X (Other non-PAR)
FAAH2	-5.99233795	-2.15523619	-3.00438876	non-par X	X (Other non-PAR)
FAM104B	-5.71916114	-0.16879494	-0.96573311	non-par X	X (Other non-PAR)
FAM120C	-0.91639263	-0.04543477	-0.30436118	non-par X	X (Other non-PAR)
FAM122B	-3.51324067	-0.08361329	-1.13984288	non-par X	X (Other non-PAR)
FAM122C	-5.81882693	-0.91748663	-1.66526958	non-par X	X (Other non-PAR)
FAM127A	-5.71620263	-0.15674849	-0.89828834	non-par X	X (Other non-PAR)
FAM127B	-5.73235938	-0.17743085	-0.97263629	non-par X	X (Other non-PAR)
FAM133A	-5.71312926	-0.52405558	-1.50199241	non-par X	X (Other non-PAR)
FAM155B	-1.69412059	-0.01260515	-0.58645566	non-par X	X (Other non-PAR)
FAM199X	-1.41933265	-0.05723302	-0.47363154	non-par X	X (Other non-PAR)
FAM3A	-5.52485284	-0.33811236	-1.32660739	non-par X	X (Other non-PAR)
FAM46D	-4.26590756	-0.00774049	-0.67255726	non-par X	X (Other non-PAR)
FAM50A	-1.23410393	-0.0572562	-0.43302761	non-par X	X (Other non-PAR)
FAM58A	-2.9140261	-0.00322478	-0.67887215	non-par X	X (Other non-PAR)
FAM9A	-6.01784054	-2.19110385	-4.38939825	non-par X	X (Other non-PAR)
FAM9B	-5.9357451	-1.43878887	-2.03928121	non-par X	X (Other non-PAR)
FAM9C	-6.03602042	-2.35496589	-4.23719461	non-par X	X (Other non-PAR)
FANCB	-1.18387755	-0.06145883	-0.39676556	non-par X	X (Other non-PAR)
FATE1	-5.94662987	-1.58718807	-2.29236328	non-par X	X (Other non-PAR)
FGD1	-0.98902851	-0.04802582	-0.3451005	non-par X	X (Other non-PAR)
FGF13	-1.7938853	-0.25076259	-1.02486365	non-par X	X (Other non-PAR)
FGF16	-3.92902853	-0.00719653	-0.69620941	non-par X	X (Other non-PAR)
FHL1	-1.45036101	-0.04919287	-0.52534741	non-par X	X (Other non-PAR)
FIGF	-5.70365945	-1.35600804	-1.97341508	non-par X	X (Other non-PAR)
FLNA	-0.9330041	-0.12961598	-0.47845245	non-par X	X (Other non-PAR)
FMR1	-5.99842692	-2.0652908	-3.61295716	non-par X	X (Other non-PAR)
FMR1NB	-1.79444367	-0.00232833	-0.58243503	non-par X	X (Other non-PAR)
FOXO4	-1.46219901	-0.0512433	-0.61727221	non-par X	X (Other non-PAR)
FOXP3	-1.28620038	-0.0592968	-0.52315069	non-par X	X (Other non-PAR)
FRMD7	-1.63597212	-0.44813202	-1.11118295	non-par X	X (Other non-PAR)
FRMPD3	-2.10990436	-1.36035555	-1.6452285	non-par X	X (Other non-PAR)
FRMPD4	-0.94396266	-0.04196439	-0.33150527	non-par X	X (Other non-PAR)
FTSJ1	-1.27573468	-0.05769866	-0.51058472	non-par X	X (Other non-PAR)
FUNDC1	-2.68051896	-0.00305249	-0.67215976	non-par X	X (Other non-PAR)
FUNDC2	-2.08036587	-0.00561144	-0.62699518	non-par X	X (Other non-PAR)
G6PD	-1.1935678	-0.05949605	-0.47214811	non-par X	X (Other non-PAR)
GAB3	-1.4914757	-0.23889475	-0.88263605	non-par X	X (Other non-PAR)
GABRA3	-6.02645373	-2.2664165	-3.60215144	non-par X	X (Other non-PAR)
GABRE	-5.93369764	-1.81021719	-2.60760768	non-par X	X (Other non-PAR)
GABRQ	-3.04026128	-0.77519944	-1.51023232	non-par X	X (Other non-PAR)
GAGE10	-5.968189	-1.59865788	-2.91738575	non-par X	X (Other non-PAR)
GAGE12J	-5.7314032	-0.18071906	-0.97605966	non-par X	X (Other non-PAR)
GAGE13	-5.863179	-0.29302701	-1.23862588	non-par X	X (Other non-PAR)
GAGE2C	-5.85440782	-0.28271752	-1.1597622	non-par X	X (Other non-PAR)
GATA1	-1.68081401	-0.01647385	-0.55329092	non-par X	X (Other non-PAR)
GDI1	-1.25741977	-0.05666358	-0.54207566	non-par X	X (Other non-PAR)
GDPD2	-1.02125806	-0.05466819	-0.38934314	non-par X	X (Other non-PAR)
GEMIN8	-1.45810758	-0.04673889	-0.53316633	non-par X	X (Other non-PAR)
GJB1	-2.71377941	-0.00442241	-0.64411728	non-par X	X (Other non-PAR)
GK	-1.04563894	-0.05112839	-0.36202769	non-par X	X (Other non-PAR)
GLA	-1.18854	-0.05626296	-0.41164468	non-par X	X (Other non-PAR)
GLOD5	-5.99805869	-2.10862519	-3.8271922	non-par X	X (Other non-PAR)
GLRA2	-1.23984276	-0.05762261	-0.44029097	non-par X	X (Other non-PAR)
GLRA4	-5.97579358	-1.97584415	-2.65273348	non-par X	X (Other non-PAR)
GLUD2	-5.94296049	-2.11194768	-3.04832591	non-par X	X (Other non-PAR)
GNG5P2	-5.8634972	-0.30460744	-1.10812633	non-par X	X (Other non-PAR)
GNL3L	-1.18404821	-0.05711913	-0.41933223	non-par X	X (Other non-PAR)
GPC3	-1.15811359	-0.0593768	-0.44979089	non-par X	X (Other non-PAR)
GPC4	-1.55018164	-0.25248705	-0.93475981	non-par X	X (Other non-PAR)
GPKOW	-1.24002849	-0.0590004	-0.43198102	non-par X	X (Other non-PAR)
GPM6B	-2.93735029	-0.32670457	-1.32128455	non-par X	X (Other non-PAR)
GPR101	-1.9826339	-0.00643708	-0.59774006	non-par X	X (Other non-PAR)
GPR112	-5.48047658	-1.80672876	-2.97027085	non-par X	X (Other non-PAR)
GPR119	-5.61286121	-0.66087028	-1.4891064	non-par X	X (Other non-PAR)
GPR143	-1.41257477	-0.05925671	-0.6183456	non-par X	X (Other non-PAR)
GPR173	-2.77414094	-0.00769722	-0.69151389	non-par X	X (Other non-PAR)
GPR174	-1.87618218	-0.22607397	-1.04445371	non-par X	X (Other non-PAR)
GPR34	-1.54503863	-0.04076058	-0.52916255	non-par X	X (Other non-PAR)
GPR50	-2.0435342	-0.00419022	-0.61787203	non-par X	X (Other non-PAR)
GPR64	-1.58271519	-0.60257403	-1.12938533	non-par X	X (Other non-PAR)
GPR82	-4.77745351	-0.00270382	-0.73319259	non-par X	X (Other non-PAR)
GPRASP1	-1.71582122	-0.88334683	-1.28911936	non-par X	X (Other non-PAR)
GPRASP2	-1.1830713	-0.05765104	-0.39314413	non-par X	X (Other non-PAR)
GRIA3	-0.94931999	-0.04586089	-0.36082063	non-par X	X (Other non-PAR)
GRIPAP1	-0.94166415	-0.04634634	-0.35423341	non-par X	X (Other non-PAR)
GRPR	-2.37114681	-0.0028321	-0.69638009	non-par X	X (Other non-PAR)
GSPT2	-1.34415994	-0.06435442	-0.48483279	non-par X	X (Other non-PAR)
GUCY2F	-5.80246969	-1.93668663	-3.17057812	non-par X	X (Other non-PAR)
GYG2	-6.04658604	-2.24347677	-4.03676771	non-par X	X (Other non-PAR)
H2BFWT	-5.9615966	-1.53804552	-2.455961	non-par X	X (Other non-PAR)
HAUS7	-1.42782458	-0.05721232	-0.52713653	non-par X	X (Other non-PAR)
HCCS	-1.35118285	-0.06094675	-0.6277145	non-par X	X (Other non-PAR)
HCFC1	-0.88214905	-0.03968345	-0.3170013	non-par X	X (Other non-PAR)
HDAC6	-0.95786886	-0.04563938	-0.37845101	non-par X	X (Other non-PAR)
HDAC8	-1.23734159	-0.05869831	-0.48004905	non-par X	X (Other non-PAR)
HDHD1	-4.29175371	-0.00132546	-0.73218705	non-par X	X (Other non-PAR)
HDX	-2.24919789	-0.8656866	-1.44182303	non-par X	X (Other non-PAR)
HEPH	-2.01584193	-1.19634692	-1.56580545	non-par X	X (Other non-PAR)
HMGB3	-4.39392195	-0.00459527	-0.7153964	non-par X	X (Other non-PAR)
HMGN5	-5.36718586	-0.00712048	-0.78392635	non-par X	X (Other non-PAR)
HNRNPH2	-1.37426417	-0.06045838	-0.60470526	non-par X	X (Other non-PAR)
HPRT1	-1.63442116	-0.02274697	-0.5230967	non-par X	X (Other non-PAR)
HS6ST2	-1.39092292	-0.05621592	-0.54929892	non-par X	X (Other non-PAR)
HSD17B10	-1.51197311	-0.03845042	-0.52126424	non-par X	X (Other non-PAR)
HTATSF1	-1.14494411	-0.06000932	-0.43759606	non-par X	X (Other non-PAR)
HTR2C	-2.28759371	-0.16028684	-1.0965074	non-par X	X (Other non-PAR)
HUWE1	-0.5233373	-0.01516539	-0.16863134	non-par X	X (Other non-PAR)
IDH3G	-1.39748758	-0.05644438	-0.56321649	non-par X	X (Other non-PAR)
IGBP1	-1.36542296	-0.06094821	-0.52789652	non-par X	X (Other non-PAR)
IGSF1	-1.21234786	-0.29584326	-0.76069619	non-par X	X (Other non-PAR)
IKBKG	-5.76809528	-0.58341962	-1.52909784	non-par X	X (Other non-PAR)
IL13RA1	-1.34185369	-0.05293646	-0.50134138	non-par X	X (Other non-PAR)
IL13RA2	-5.88772464	-1.62577002	-2.17830937	non-par X	X (Other non-PAR)
IL1RAPL1	-1.0738123	-0.05346907	-0.37416917	non-par X	X (Other non-PAR)
IL1RAPL2	-1.13219318	-0.05824174	-0.41099406	non-par X	X (Other non-PAR)
IL2RG	-1.30092561	-0.05797656	-0.46928335	non-par X	X (Other non-PAR)
IQSEC2	-0.94421966	-0.04506841	-0.3342346	non-par X	X (Other non-PAR)
IRAK1	-1.47164098	-0.23988229	-0.91275346	non-par X	X (Other non-PAR)
IRS4	-1.53394617	-0.43117635	-1.05900176	non-par X	X (Other non-PAR)
ITGB1BP2	-6.05274408	-2.36455109	-3.55593965	non-par X	X (Other non-PAR)
ITIH6	-5.75323297	-1.82653559	-2.76087553	non-par X	X (Other non-PAR)
ITM2A	-5.55194634	-0.35340378	-1.35376409	non-par X	X (Other non-PAR)
JADE3	-1.06973052	-0.05596499	-0.36988965	non-par X	X (Other non-PAR)
KAL1	-1.35185658	-0.35377846	-0.86793067	non-par X	X (Other non-PAR)
KCND1	-2.22051327	-0.66919884	-1.39160498	non-par X	X (Other non-PAR)
KDM5C	-0.81166251	-0.03494073	-0.29234008	non-par X	X (Y-homolog, non-PAR)
KDM6A	-1.28784814	-0.44865966	-0.90276043	non-par X	X (Y-homolog, non-PAR)
KIAA1210	-1.98564617	-1.2192029	-1.5427391	non-par X	X (Other non-PAR)
KIAA2022	-0.96242797	-0.0457752	-0.35016212	non-par X	X (Other non-PAR)
KIF4A	-1.47790611	-0.73349384	-1.14254518	non-par X	X (Other non-PAR)
KLF8	-5.45290339	-0.31392698	-1.32550376	non-par X	X (Other non-PAR)
KLHL13	-2.03311482	-0.70748521	-1.35233214	non-par X	X (Other non-PAR)
KLHL15	-1.22191425	-0.05754182	-0.44198247	non-par X	X (Other non-PAR)
KLHL34	-6.02116881	-2.13003096	-3.2844429	non-par X	X (Other non-PAR)
KLHL4	-1.15226104	-0.05539341	-0.44256565	non-par X	X (Other non-PAR)
KRBOX4	-5.43706501	-0.0248793	-0.7962617	non-par X	X (Other non-PAR)
L1CAM	-1.06903097	-0.15913832	-0.5801877	non-par X	X (Other non-PAR)
LAGE3	-6.02685235	-1.06639758	-2.23730278	non-par X	X (Other non-PAR)
LAMP2	-2.24428331	-0.17262078	-1.10336771	non-par X	X (Other non-PAR)
LANCL3	-4.35421997	-0.12170671	-1.20405504	non-par X	X (Other non-PAR)
LAS1L	-1.07676357	-0.05438464	-0.42795175	non-par X	X (Other non-PAR)
LCA10	-5.64794576	-0.44798656	-1.42823022	non-par X	X (Other non-PAR)
LDOC1	-5.68354171	-0.12324996	-0.91772688	non-par X	X (Other non-PAR)
LHFPL1	-5.70002215	-0.50064104	-1.48624658	non-par X	X (Other non-PAR)
LONRF3	-1.69649924	-0.48237097	-1.16839871	non-par X	X (Other non-PAR)
LPAR4	-5.94606817	-1.55908841	-2.48748202	non-par X	X (Other non-PAR)
LRCH2	-1.15561543	-0.06083445	-0.45100722	non-par X	X (Other non-PAR)
LUZP4	-5.98485907	-1.29625407	-2.23824298	non-par X	X (Other non-PAR)
MAGEA11	-5.37445778	-0.00577539	-0.79357118	non-par X	X (Other non-PAR)
MAGEB16	-5.83178737	-0.25335913	-1.02909789	non-par X	X (Other non-PAR)
MAGEB18	-5.67032316	-0.48120768	-1.4639947	non-par X	X (Other non-PAR)
MAGEB3	-5.74513099	-0.18034877	-0.95335142	non-par X	X (Other non-PAR)
MAGEC1	-6.0112415	-1.20673893	-2.96221056	non-par X	X (Other non-PAR)
MAGEC3	-6.00835027	-1.91801659	-5.00349061	non-par X	X (Other non-PAR)
MAGED1	-1.0599539	-0.05260108	-0.41502398	non-par X	X (Other non-PAR)
MAGED2	-1.12975507	-0.05646471	-0.4604495	non-par X	X (Other non-PAR)
MAGED4	-5.87311387	-0.31387615	-1.32893199	non-par X	X (Other non-PAR)
MAGEE1	-1.24719196	-0.05990974	-0.38776261	non-par X	X (Other non-PAR)
MAGEH1	-5.51894743	-0.0476136	-0.82445309	non-par X	X (Other non-PAR)
MAGIX	-4.47088815	-0.00570134	-0.71576481	non-par X	X (Other non-PAR)
MAGT1	-3.92005969	-0.62434311	-1.4709492	non-par X	X (Other non-PAR)
MAOA	-1.16905835	-0.05732535	-0.45021784	non-par X	X (Other non-PAR)
MAOB	-1.18391596	-0.05604523	-0.41775884	non-par X	X (Other non-PAR)
MAP3K15	-5.85157526	-2.23629121	-3.6088841	non-par X	X (Other non-PAR)
MAP7D2	-5.46275174	-1.63341465	-2.25973842	non-par X	X (Other non-PAR)
MAP7D3	-6.02276455	-2.05712087	-3.45476344	non-par X	X (Other non-PAR)
MBNL3	-1.31667592	-0.05937621	-0.52144377	non-par X	X (Other non-PAR)
MBTPS2	-1.22407808	-0.05756016	-0.47905788	non-par X	X (Other non-PAR)
MCF2	-1.1667453	-0.17438528	-0.6457707	non-par X	X (Other non-PAR)
MCTS1	-3.26383289	-0.00879611	-0.69160555	non-par X	X (Other non-PAR)
